latitude,latitude
25.04986061,25.04986061
25.14986061,25.14986061
25.24986061,25.24986061
25.34986061,25.34986061
25.44986061,25.44986061
25.54986061,25.54986061
25.64986061,25.64986061
25.74986061,25.74986061
25.84986061,25.84986061
25.94986061,25.94986061
26.04986061,26.04986061
26.14986061,26.14986061
26.24986061,26.24986061
26.34986061,26.34986061
26.44986061,26.44986061
26.54986061,26.54986061
26.64986061,26.64986061
26.7498606,26.7498606
26.8498606,26.8498606
26.9498606,26.9498606
27.0498606,27.0498606
27.1498606,27.1498606
27.2498606,27.2498606
27.3498606,27.3498606
27.4498606,27.4498606
27.5498606,27.5498606
27.6498606,27.6498606
27.7498606,27.7498606
27.8498606,27.8498606
27.9498606,27.9498606
28.0498606,28.0498606
28.1498606,28.1498606
28.2498606,28.2498606
28.3498606,28.3498606
28.4498606,28.4498606
28.5498606,28.5498606
28.6498606,28.6498606
28.7498606,28.7498606
28.8498606,28.8498606
28.9498606,28.9498606
29.0498606,29.0498606
29.1498606,29.1498606
29.2498606,29.2498606
29.3498606,29.3498606
29.4498606,29.4498606
29.5498606,29.5498606
29.6498606,29.6498606
29.7498606,29.7498606
29.84986059,29.84986059
29.94986059,29.94986059
30.04986059,30.04986059
30.14986059,30.14986059
30.24986059,30.24986059
30.34986059,30.34986059
30.44986059,30.44986059
30.54986059,30.54986059
30.64986059,30.64986059
30.74986059,30.74986059
30.84986059,30.84986059
30.94986059,30.94986059
31.04986059,31.04986059
31.14986059,31.14986059
31.24986059,31.24986059
31.34986059,31.34986059
31.44986059,31.44986059
31.54986059,31.54986059
31.64986059,31.64986059
31.74986059,31.74986059
31.84986059,31.84986059
31.94986059,31.94986059
32.04986059,32.04986059
32.14986059,32.14986059
32.24986059,32.24986059
32.34986059,32.34986059
32.44986059,32.44986059
32.54986059,32.54986059
32.64986059,32.64986059
32.74986059,32.74986059
32.84986059,32.84986059
32.94986059,32.94986059
33.04986058,33.04986058
33.14986058,33.14986058
33.24986058,33.24986058
33.34986058,33.34986058
33.44986058,33.44986058
33.54986058,33.54986058
33.64986058,33.64986058
33.74986058,33.74986058
33.84986058,33.84986058
33.94986058,33.94986058
34.04986058,34.04986058
34.14986058,34.14986058
34.24986058,34.24986058
34.34986058,34.34986058
34.44986058,34.44986058
34.54986058,34.54986058
34.64986058,34.64986058
34.74986058,34.74986058
34.84986058,34.84986058
34.94986058,34.94986058
35.04986058,35.04986058
35.14986058,35.14986058
35.24986058,35.24986058
35.34986058,35.34986058
35.44986058,35.44986058
35.54986058,35.54986058
35.64986058,35.64986058
35.74986058,35.74986058
35.84986058,35.84986058
35.94986058,35.94986058
36.04986058,36.04986058
36.14986057,36.14986057
36.24986057,36.24986057
36.34986057,36.34986057
36.44986057,36.44986057
36.54986057,36.54986057
36.64986057,36.64986057
36.74986057,36.74986057
36.84986057,36.84986057
36.94986057,36.94986057
37.04986057,37.04986057
37.14986057,37.14986057
37.24986057,37.24986057
37.34986057,37.34986057
37.44986057,37.44986057
37.54986057,37.54986057
37.64986057,37.64986057
37.74986057,37.74986057
37.84986057,37.84986057
37.94986057,37.94986057
38.04986057,38.04986057
38.14986057,38.14986057
38.24986057,38.24986057
38.34986057,38.34986057
38.44986057,38.44986057
38.54986057,38.54986057
38.64986057,38.64986057
38.74986057,38.74986057
38.84986057,38.84986057
38.94986057,38.94986057
39.04986057,39.04986057
39.14986057,39.14986057
39.24986057,39.24986057
39.34986056,39.34986056
39.44986056,39.44986056
39.54986056,39.54986056
39.64986056,39.64986056
39.74986056,39.74986056
39.84986056,39.84986056
39.94986056,39.94986056
40.04986056,40.04986056
40.14986056,40.14986056
40.24986056,40.24986056
40.34986056,40.34986056
40.44986056,40.44986056
40.54986056,40.54986056
40.64986056,40.64986056
40.74986056,40.74986056
40.84986056,40.84986056
40.94986056,40.94986056
41.04986056,41.04986056
41.14986056,41.14986056
41.24986056,41.24986056
41.34986056,41.34986056
41.44986056,41.44986056
41.54986056,41.54986056
41.64986056,41.64986056
41.74986056,41.74986056
41.84986056,41.84986056
41.94986056,41.94986056
42.04986056,42.04986056
42.14986056,42.14986056
42.24986056,42.24986056
42.34986056,42.34986056
42.44986055,42.44986055
42.54986055,42.54986055
42.64986055,42.64986055
42.74986055,42.74986055
42.84986055,42.84986055
42.94986055,42.94986055
43.04986055,43.04986055
43.14986055,43.14986055
43.24986055,43.24986055
43.34986055,43.34986055
43.44986055,43.44986055
43.54986055,43.54986055
43.64986055,43.64986055
43.74986055,43.74986055
43.84986055,43.84986055
43.94986055,43.94986055
44.04986055,44.04986055
44.14986055,44.14986055
44.24986055,44.24986055
44.34986055,44.34986055
44.44986055,44.44986055
44.54986055,44.54986055
44.64986055,44.64986055
44.74986055,44.74986055
44.84986055,44.84986055
44.94986055,44.94986055
45.04986055,45.04986055
45.14986055,45.14986055
45.24986055,45.24986055
45.34986055,45.34986055
45.44986055,45.44986055
45.54986055,45.54986055
45.64986054,45.64986054
45.74986054,45.74986054
45.84986054,45.84986054
45.94986054,45.94986054
46.04986054,46.04986054
46.14986054,46.14986054
46.24986054,46.24986054
46.34986054,46.34986054
46.44986054,46.44986054
46.54986054,46.54986054
46.64986054,46.64986054
46.74986054,46.74986054
46.84986054,46.84986054
46.94986054,46.94986054
47.04986054,47.04986054
47.14986054,47.14986054
47.24986054,47.24986054
47.34986054,47.34986054
47.44986054,47.44986054
47.54986054,47.54986054
47.64986054,47.64986054
47.74986054,47.74986054
47.84986054,47.84986054
47.94986054,47.94986054
48.04986054,48.04986054
48.14986054,48.14986054
48.24986054,48.24986054
48.34986054,48.34986054
48.44986054,48.44986054
48.54986054,48.54986054
48.64986054,48.64986054
48.74986053,48.74986053
48.84986053,48.84986053
48.94986053,48.94986053
49.04986053,49.04986053
49.14986053,49.14986053
49.24986053,49.24986053
49.34986053,49.34986053
49.44986053,49.44986053
49.54986053,49.54986053
49.64986053,49.64986053
49.74986053,49.74986053
49.84986053,49.84986053
49.94986053,49.94986053
50.04986053,50.04986053
50.14986053,50.14986053
50.24986053,50.24986053
50.34986053,50.34986053
50.44986053,50.44986053
50.54986053,50.54986053
50.64986053,50.64986053
50.74986053,50.74986053
50.84986053,50.84986053
50.94986053,50.94986053
51.04986053,51.04986053
51.14986053,51.14986053
51.24986053,51.24986053
51.34986053,51.34986053
51.44986053,51.44986053
51.54986053,51.54986053
51.64986053,51.64986053
51.74986053,51.74986053
51.84986053,51.84986053
51.94986052,51.94986052
52.04986052,52.04986052
52.14986052,52.14986052
52.24986052,52.24986052
52.34986052,52.34986052
52.44986052,52.44986052
52.54986052,52.54986052
52.64986052,52.64986052
52.74986052,52.74986052
52.84986052,52.84986052
52.94986052,52.94986052
53.04986052,53.04986052
53.14986052,53.14986052
53.24986052,53.24986052
53.34986052,53.34986052
53.44986052,53.44986052
53.54986052,53.54986052
53.64986052,53.64986052
53.74986052,53.74986052
53.84986052,53.84986052
53.94986052,53.94986052
54.04986052,54.04986052
54.14986052,54.14986052
54.24986052,54.24986052
54.34986052,54.34986052
54.44986052,54.44986052
54.54986052,54.54986052
54.64986052,54.64986052
54.74986052,54.74986052
54.84986052,54.84986052
54.94986052,54.94986052
55.04986051,55.04986051
55.14986051,55.14986051
55.24986051,55.24986051
55.34986051,55.34986051
55.44986051,55.44986051
55.54986051,55.54986051
55.64986051,55.64986051
55.74986051,55.74986051
55.84986051,55.84986051
55.94986051,55.94986051
56.04986051,56.04986051
56.14986051,56.14986051
56.24986051,56.24986051
56.34986051,56.34986051
56.44986051,56.44986051
56.54986051,56.54986051
56.64986051,56.64986051
56.74986051,56.74986051
56.84986051,56.84986051
56.94986051,56.94986051
57.04986051,57.04986051
57.14986051,57.14986051
57.24986051,57.24986051
57.34986051,57.34986051
57.44986051,57.44986051
57.54986051,57.54986051
57.64986051,57.64986051
57.74986051,57.74986051
57.84986051,57.84986051
57.94986051,57.94986051
58.04986051,58.04986051
58.14986051,58.14986051
58.2498605,58.2498605
58.3498605,58.3498605
58.4498605,58.4498605
58.5498605,58.5498605
58.6498605,58.6498605
58.7498605,58.7498605
58.8498605,58.8498605
58.9498605,58.9498605
59.0498605,59.0498605
59.1498605,59.1498605
59.2498605,59.2498605
59.3498605,59.3498605
59.4498605,59.4498605
59.5498605,59.5498605
59.6498605,59.6498605
59.7498605,59.7498605
59.8498605,59.8498605
59.9498605,59.9498605
60.0498605,60.0498605
60.1498605,60.1498605
60.2498605,60.2498605
60.3498605,60.3498605
60.4498605,60.4498605
60.5498605,60.5498605
60.6498605,60.6498605
60.7498605,60.7498605
60.8498605,60.8498605
60.9498605,60.9498605
61.0498605,61.0498605
61.1498605,61.1498605
61.2498605,61.2498605
61.34986049,61.34986049
61.44986049,61.44986049
61.54986049,61.54986049
61.64986049,61.64986049
61.74986049,61.74986049
61.84986049,61.84986049
61.94986049,61.94986049
62.04986049,62.04986049
62.14986049,62.14986049
62.24986049,62.24986049
62.34986049,62.34986049
62.44986049,62.44986049
62.54986049,62.54986049
62.64986049,62.64986049
62.74986049,62.74986049
62.84986049,62.84986049
62.94986049,62.94986049
63.04986049,63.04986049
63.14986049,63.14986049
63.24986049,63.24986049
63.34986049,63.34986049
63.44986049,63.44986049
63.54986049,63.54986049
63.64986049,63.64986049
63.74986049,63.74986049
63.84986049,63.84986049
63.94986049,63.94986049
64.04986049,64.04986049
64.14986049,64.14986049
64.24986049,64.24986049
64.34986049,64.34986049
64.44986049,64.44986049
64.54986048,64.54986048
64.64986048,64.64986048
64.74986048,64.74986048
64.84986048,64.84986048
64.94986048,64.94986048
65.04986048,65.04986048
65.14986048,65.14986048
65.24986048,65.24986048
65.34986048,65.34986048
65.44986048,65.44986048
65.54986048,65.54986048
65.64986048,65.64986048
65.74986048,65.74986048
65.84986048,65.84986048
65.94986048,65.94986048
66.04986048,66.04986048
66.14986048,66.14986048
66.24986048,66.24986048
66.34986048,66.34986048
66.44986048,66.44986048
66.54986048,66.54986048
66.64986048,66.64986048
66.74986048,66.74986048
66.84986048,66.84986048
66.94986048,66.94986048
67.04986048,67.04986048
67.14986048,67.14986048
67.24986048,67.24986048
67.34986048,67.34986048
67.44986048,67.44986048
67.54986048,67.54986048
67.64986047,67.64986047
67.74986047,67.74986047
67.84986047,67.84986047
67.94986047,67.94986047
68.04986047,68.04986047
68.14986047,68.14986047
68.24986047,68.24986047
68.34986047,68.34986047
68.44986047,68.44986047
68.54986047,68.54986047
68.64986047,68.64986047
68.74986047,68.74986047
68.84986047,68.84986047
68.94986047,68.94986047
69.04986047,69.04986047
69.14986047,69.14986047
69.24986047,69.24986047
69.34986047,69.34986047
69.44986047,69.44986047
69.54986047,69.54986047
69.64986047,69.64986047
69.74986047,69.74986047
69.84986047,69.84986047
69.94986047,69.94986047
70.04986047,70.04986047
70.14986047,70.14986047
70.24986047,70.24986047
70.34986047,70.34986047
70.44986047,70.44986047
70.54986047,70.54986047
70.64986047,70.64986047
70.74986047,70.74986047
70.84986046,70.84986046
70.94986046,70.94986046
71.04986046,71.04986046
71.14986046,71.14986046
71.24986046,71.24986046
71.34986046,71.34986046
71.44986046,71.44986046
